,datetime,tweet_Id,text,Username
0,2022-03-25 23:54:03+00:00,1507506125511573509,#HorribleBosses: Entertainers called out too https://t.co/RcWO0p1UWs,CelebrityGigMag
1,2022-03-25 23:47:40+00:00,1507504519713898500,#HorribleBosses VS #Annoyingemployees ..which do you prefer to be?😊,sheyyishay
2,2022-03-25 23:33:42+00:00,1507501004841009154,"Since Super Eagles didn’t impress us tonight, let’s do other things. 

Past days saw lots of stories about #horriblebosses , one of the ways we can change the status quo is to know our rights under the law. 

So sit back &amp; read some of your rights as employees in Nigeria. 

1/10",heisrahman
3,2022-03-25 22:08:31+00:00,1507479568986353665,#ethereum #XMR  #Bolckchain  @HorribleBosses https://t.co/fZ4GTlSN2r,Bakarehorlami
4,2022-03-25 22:00:21+00:00,1507477515757101057,AZOV is synonymous with #HorribleBosses https://t.co/BCjFIyhzPY,MyHeartlandia
5,2022-03-25 20:42:35+00:00,1507457944979443742,#horriblebosses https://t.co/nicXngj8SH,Micheal_aduayi
6,2022-03-25 20:41:42+00:00,1507457720575799309,So when are we having the Nigerian music industry version of #HorribleBosses ?.,waliuabayomi
7,2022-03-25 20:16:32+00:00,1507451388942503944,"Did they have a #BusinessProposal?
Turn it down- they are #HorribleBosses https://t.co/LDpoeBBiRq",MyHeartlandia
8,2022-03-25 19:55:53+00:00,1507446190480269313,"#HorribleBosses: I was once signed to a label where my boss locked me up! ~ @youngskales speaks on #ToxicWorkplaces and #TimiDakolo's performance at #Atiku's political event.

#PopKasa cc @jj_dejocular @BolanleOfficial 

Full video: https://t.co/Fdd3mJlVOi https://t.co/Bzy2WtuCrU",NewsCentralTV
9,2022-03-25 19:29:01+00:00,1507439427336998914,I’ll soon do my own episode of #HorribleBosses cause this people are playing with us at this point,seyi_lagesh
10,2022-03-25 19:20:00+00:00,1507437158721896449,"For every toxic person in the workplace, there is always an enabler.

Either a CEO that is indifferent, or an escalation system that is not working or responsive. 
#Horriblebosses #Toxicworkplace",TheLogic360
11,2022-03-25 19:14:46+00:00,1507435843929182211,"The negative effect on the mental health of non mtg staff  @trustfundpltd  that have #HorribleBosses do not only stay with the employees, its poison also spreads into the very essence of the job .
The high handedness is way too much &amp; the level of injustice is preposterous",Ntacrok_ng
12,2022-03-25 18:54:09+00:00,1507430654857908235,"https://t.co/hySNwY9Vgp
#misinformation #Mariupol #NATO  #ViceGanda #HorribleBosses #Ukraine #LALISA",Businessweekgh1
13,2022-03-25 18:38:24+00:00,1507426691567730741,"Dear business owner,

How are you feeling tonight? Hope you were able to pay salaries today, despite #HorribleBosses.

The Lord is your strength. Take your poison tonight (mine is novels 🤣) and forget about everything this weekend.

You’ll rise again.

Best,
Fellow BO 🥂",Tolucomms
14,2022-03-25 17:51:29+00:00,1507414885470285824,"Some thoughts on the whole #HorribleBosses Saga

I know it has seemingly died down and we aren’t going to talk about it till another couple of years, or something tragic springs up on us.

I’m curious to know, did employers take note, did the government take note?

#AThread",OprahCoco
15,2022-03-25 17:00:17+00:00,1507401999343656967,"Horrible Bosses Acting like saints on Twitter 🤮. 
#HorribleBosses",Olami_deeEbony
16,2022-03-25 16:53:26+00:00,1507400273991507978,"HORRIBLE NOLLYWOOD BOSSES &amp; BAD NOLLYWOOD STRUCTURE 
 A THREAD ; 
#Nollywood #HorribleNollywoodbosses #HorribleBosses #TheStateofNollywood #TheNollywoodStructure .",SONOFABE1
17,2022-03-25 16:47:20+00:00,1507398739266314281,"You can only escape harsh realities of life if you learn how to build your own economy

#HorribleBosses https://t.co/fCAnIBhkzn",EzeFortune4
